N1	t1	{S0034}|{S0015}#{S0008}|{S0003,S0051,S0039,S0010,S0009,S0027,S0014}	1	159	171.143
N1	t2	{S0003,S0051,S0039,S0010,S0009,S0027,S0014}|{S0015}#{S0008}|{S0034}	0	4.85714	171.143
N1	t3	{S0034}|{S0003,S0051,S0039,S0010,S0009,S0027,S0014}#{S0008}|{S0015}	0	7.28571	171.143
N2	t1	{S0034,S0015}|{S0008}#{S0027,S0014}|{S0003,S0051,S0039,S0010,S0009}	1	119.8	170.5
N2	t2	{S0003,S0051,S0039,S0010,S0009}|{S0008}#{S0027,S0014}|{S0034,S0015}	0	17.55	170.5
N2	t3	{S0034,S0015}|{S0003,S0051,S0039,S0010,S0009}#{S0027,S0014}|{S0008}	0	33.15	170.5
N3	t1	{S0027}|{S0014}#{S0034,S0015,S0008}|{S0003,S0051,S0039,S0010,S0009}	1	131.067	169.6
N3	t2	{S0003,S0051,S0039,S0010,S0009}|{S0014}#{S0034,S0015,S0008}|{S0027}	0	11.8	169.6
N3	t3	{S0027}|{S0003,S0051,S0039,S0010,S0009}#{S0034,S0015,S0008}|{S0014}	0	26.7333	169.6
N4	t1	{S0034,S0015,S0008}|{S0027,S0014}#{S0051,S0039,S0010,S0009}|{S0003}	0.924276	69.75	165.708
N4	t2	{S0003}|{S0027,S0014}#{S0051,S0039,S0010,S0009}|{S0034,S0015,S0008}	0.00648543	35.375	165.708
N4	t3	{S0034,S0015,S0008}|{S0003}#{S0051,S0039,S0010,S0009}|{S0027,S0014}	0.0692382	60.5833	165.708
N5	t1	{S0051}|{S0039}#{S0010,S0009}|{S0003,S0034,S0015,S0008,S0027,S0014}	1	169.417	173.333
N5	t2	{S0003,S0034,S0015,S0008,S0027,S0014}|{S0039}#{S0010,S0009}|{S0051}	0	3	173.333
N5	t3	{S0051}|{S0003,S0034,S0015,S0008,S0027,S0014}#{S0010,S0009}|{S0039}	0	0.916667	173.333
N6	t1	{S0010}|{S0009}#{S0051,S0039}|{S0003,S0034,S0015,S0008,S0027,S0014}	1	176.5	177.917
N6	t2	{S0003,S0034,S0015,S0008,S0027,S0014}|{S0009}#{S0051,S0039}|{S0010}	0	1.41667	177.917
N6	t3	{S0010}|{S0003,S0034,S0015,S0008,S0027,S0014}#{S0051,S0039}|{S0009}	0	0	177.917
N7	t1	{S0051,S0039}|{S0010,S0009}#{S0034,S0015,S0008,S0027,S0014}|{S0003}	1	95.45	165.1
N7	t2	{S0003}|{S0010,S0009}#{S0034,S0015,S0008,S0027,S0014}|{S0051,S0039}	6.27716e-11	17.45	165.1
N7	t3	{S0051,S0039}|{S0003}#{S0034,S0015,S0008,S0027,S0014}|{S0010,S0009}	3.62644e-10	52.2	165.1
