N1	t1	{S0034}|{S0015}#{S0008}|{S0003,S0009,S0010,S0039,S0051,S0014,S0027}	1	26.2857	28.4286
N1	t2	{S0003,S0009,S0010,S0039,S0051,S0014,S0027}|{S0015}#{S0008}|{S0034}	4.91284e-11	1.14286	28.4286
N1	t3	{S0034}|{S0003,S0009,S0010,S0039,S0051,S0014,S0027}#{S0008}|{S0015}	4.83927e-11	1	28.4286
N2	t1	{S0034,S0015}|{S0008}#{S0014,S0027}|{S0003,S0009,S0010,S0039,S0051}	0.999997	21.8	28.1
N2	t2	{S0003,S0009,S0010,S0039,S0051}|{S0008}#{S0014,S0027}|{S0034,S0015}	1.47405e-06	2.35	28.1
N2	t3	{S0034,S0015}|{S0003,S0009,S0010,S0039,S0051}#{S0014,S0027}|{S0008}	1.82146e-06	3.95	28.1
N3	t1	{S0014}|{S0027}#{S0034,S0015,S0008}|{S0003,S0009,S0010,S0039,S0051}	0.999991	21.8	29.0667
N3	t2	{S0003,S0009,S0010,S0039,S0051}|{S0027}#{S0034,S0015,S0008}|{S0014}	5.55905e-06	5.2	29.0667
N3	t3	{S0014}|{S0003,S0009,S0010,S0039,S0051}#{S0034,S0015,S0008}|{S0027}	3.64472e-06	2.06667	29.0667
N4	t1	{S0034,S0015,S0008}|{S0014,S0027}#{S0009,S0010,S0039,S0051}|{S0003}	0.985635	16.75	28.6667
N4	t2	{S0003}|{S0014,S0027}#{S0009,S0010,S0039,S0051}|{S0034,S0015,S0008}	0.00293545	2.41667	28.6667
N4	t3	{S0034,S0015,S0008}|{S0003}#{S0009,S0010,S0039,S0051}|{S0014,S0027}	0.0114295	9.5	28.6667
N5	t1	{S0009}|{S0010}#{S0039,S0051}|{S0003,S0034,S0015,S0008,S0014,S0027}	1	30.3333	30.6667
N5	t2	{S0003,S0034,S0015,S0008,S0014,S0027}|{S0010}#{S0039,S0051}|{S0009}	6.89951e-15	0	30.6667
N5	t3	{S0009}|{S0003,S0034,S0015,S0008,S0014,S0027}#{S0039,S0051}|{S0010}	7.11142e-15	0.333333	30.6667
N6	t1	{S0039}|{S0051}#{S0009,S0010}|{S0003,S0034,S0015,S0008,S0014,S0027}	1	29.5	30.3333
N6	t2	{S0003,S0034,S0015,S0008,S0014,S0027}|{S0051}#{S0009,S0010}|{S0039}	7.32132e-14	0	30.3333
N6	t3	{S0039}|{S0003,S0034,S0015,S0008,S0014,S0027}#{S0009,S0010}|{S0051}	7.91549e-14	0.833333	30.3333
N7	t1	{S0009,S0010}|{S0039,S0051}#{S0034,S0015,S0008,S0014,S0027}|{S0003}	0.961928	15.8	29.2
N7	t2	{S0003}|{S0039,S0051}#{S0034,S0015,S0008,S0014,S0027}|{S0009,S0010}	0.0265452	8.8	29.2
N7	t3	{S0009,S0010}|{S0003}#{S0034,S0015,S0008,S0014,S0027}|{S0039,S0051}	0.0115267	4.6	29.2
